,finished,page,title,url
458,False,1,证券,/c101010100-p180899/
459,False,1,证券经纪人,/c101010100-p180801/
460,False,1,证券分析师,/c101010100-p180802/
461,False,1,其他金融职位,/c101010100-p180601/
462,False,1,汽车设计,/c101010100-p230101/
463,False,1,车身设计,/c101010100-p230102/
464,False,1,底盘设计,/c101010100-p230103/
465,False,1,机械设计,/c101010100-p230104/
466,False,1,动力系统设计,/c101010100-p230105/
467,False,1,电子工程设计,/c101010100-p230106/
468,False,1,零部件设计,/c101010100-p230107/
469,False,1,汽车工程项目管理,/c101010100-p230108/
470,False,1,内外饰设计工程师,/c101010100-p230110/
471,False,1,总装工程师,/c101010100-p230210/
472,False,1,焊接工程师,/c101010100-p230211/
473,False,1,冲压工程师,/c101010100-p230212/
474,False,1,质量工程师,/c101010100-p230109/
475,False,1,汽车销售与制造,/c101010100-p230299/
476,False,1,汽车销售,/c101010100-p230201/
477,False,1,汽车配件销售,/c101010100-p230202/
478,False,1,汽车售后服务,/c101010100-p230203/
479,False,1,汽车维修,/c101010100-p230204/
480,False,1,汽车美容,/c101010100-p230205/
481,False,1,汽车定损理赔,/c101010100-p230206/
482,False,1,二手车评估师,/c101010100-p230207/
483,False,1,4S店管理,/c101010100-p230208/
484,False,1,汽车改装工程师,/c101010100-p230209/
485,False,1,其他汽车职位,/c101010100-p230301/
486,False,1,教育产品研发,/c101010100-p190199/
487,False,1,课程设计,/c101010100-p190101/
488,False,1,课程编辑,/c101010100-p190102/
489,False,1,教师,/c101010100-p190103/
490,False,1,培训研究,/c101010100-p190104/
491,False,1,培训师,/c101010100-p190105/
492,False,1,培训策划,/c101010100-p190107/
493,False,1,其他教育产品研发职位,/c101010100-p190106/
494,False,1,教育行政,/c101010100-p190299/
495,False,1,校长,/c101010100-p190201/
496,False,1,教务管理,/c101010100-p190202/
497,False,1,教学管理,/c101010100-p190203/
498,False,1,班主任/辅导员,/c101010100-p190204/
499,False,1,教师,/c101010100-p190301/
500,False,1,助教,/c101010100-p190302/
501,False,1,高中教师,/c101010100-p190303/
502,False,1,初中教师,/c101010100-p190304/
503,False,1,小学教师,/c101010100-p190305/
504,False,1,幼教,/c101010100-p190306/
505,False,1,理科教师,/c101010100-p190307/
506,False,1,文科教师,/c101010100-p190308/
507,False,1,外语教师,/c101010100-p190309/
508,False,1,音乐教师,/c101010100-p190310/
509,False,1,美术教师,/c101010100-p190311/
510,False,1,体育教师,/c101010100-p190312/
511,False,1,就业老师,/c101010100-p190313/
512,False,1,IT培训,/c101010100-p190499/
513,False,1,JAVA培训讲师,/c101010100-p190401/
514,False,1,Android培训讲师,/c101010100-p190402/
515,False,1,ios培训讲师,/c101010100-p190403/
516,False,1,PHP培训讲师,/c101010100-p190404/
517,False,1,.NET培训讲师,/c101010100-p190405/
518,False,1,C++培训讲师,/c101010100-p190406/
519,False,1,Unity 3D培训讲师,/c101010100-p190407/
520,False,1,Web前端培训讲师,/c101010100-p190408/
521,False,1,软件测试培训讲师,/c101010100-p190409/
522,False,1,动漫培训讲师,/c101010100-p190410/
523,False,1,UI设计培训讲师,/c101010100-p190411/
524,False,1,财会培训讲师,/c101010100-p190501/
525,False,1,HR培训讲师,/c101010100-p190502/
526,False,1,培训师,/c101010100-p190503/
